extension_id,extension_name,intelligence_class,engines_wired,modalities,uses_encryption,uses_intelligence_contracts,ring_affinity,organism_placement,primary_capability,edge_permissions,wire_protocol,status
EXT-001,Sovereign Mind,Multi-Modal Reasoning Intelligence,"GPT + Claude + Gemini","text / vision / audio",true,true,Interface Ring,Organism core / reasoning layer,Cross-model reasoning fusion with sovereign memory,activeTab / storage / identity,intelligence-wire/fusion,active
EXT-002,Cipher Shield,Encrypted Intelligence Guard,"Guards + GPT + Claude","text / structured",true,true,Counsel Ring,Organism core / governance layer,Real-time content encryption and prompt-injection defense,activeTab / storage / webRequest,intelligence-wire/cipher,active
EXT-003,Polyglot Oracle,Multilingual Translation Intelligence,"Qwen + Gemini + Llama","text / audio / vision",false,true,Interface Ring,Organism core / multilingual layer,Real-time page translation with context awareness,activeTab / storage / tts,intelligence-wire/polyglot,active
EXT-004,Vision Weaver,Visual Intelligence Compositor,"DALL-E + SD + Midjourney + SAM","vision / text",true,false,Geometry Ring,Frontend organism / scene layer,Multi-model image generation and editing in-browser,activeTab / storage / downloads,intelligence-wire/vision,active
EXT-005,Code Sovereign,Autonomous Code Intelligence,"Codex + CodeLlama + DeepSeek","text / code",true,true,Build Ring,Frontend organism / packaging layer,In-page code generation with contract-verified output,activeTab / storage / clipboardWrite,intelligence-wire/code,active
EXT-006,Memory Palace,Spatial Memory Intelligence,"Embeddings + Command R + Rerankers","text / vector",true,true,Memory Ring,Frontend organism / memory layer,Sovereign bookmarking with phi-encoded spatial coordinates,activeTab / storage / bookmarks / history,intelligence-wire/memory,active
EXT-007,Sentinel Watch,Security Intelligence Monitor,"Guards + GPT + Claude","text / structured",true,true,Counsel Ring,Organism core / governance layer,Real-time phishing and malware detection on every page,activeTab / webRequest / webNavigation,intelligence-wire/sentinel,active
EXT-008,Research Nexus,Search-Augmented Research Intelligence,"Perplexity + Claude + Embeddings","text / search",false,true,Transport Ring,Frontend organism / channel layer,Multi-source research synthesis with citation graphs,activeTab / storage / tabs,intelligence-wire/research,active
EXT-009,Voice Forge,Audio Intelligence Studio,"Whisper + ElevenLabs + Suno","audio / text / music",true,false,Native Capability Ring,Frontend organism / native runtime layer,Speech-to-text plus voice cloning plus music generation,activeTab / storage / tts / audioCapture,intelligence-wire/voice,active
EXT-010,Data Alchemist,Document Absorption Intelligence,"GPT + Claude + Embeddings + Rerankers","text / structured / vector",true,true,Memory Ring,Frontend organism / knowledge layer,Auto-absorb any webpage into sovereign knowledge graph,activeTab / storage / downloads,intelligence-wire/absorb,active
EXT-011,Video Architect,Video Intelligence Generator,"Sora + Runway + Pika + Kling","video / text / vision",true,false,Geometry Ring,Frontend organism / scene layer,Text-to-video generation with multi-model quality routing,activeTab / storage / downloads,intelligence-wire/video,active
EXT-012,Logic Prover,Mathematical Proof Intelligence,"Minerva-Llemma + GPT + AlphaCode","text / math / code",false,true,Proof Ring,Organism core / verification layer,Step-by-step mathematical proof verification on any page,activeTab / storage / clipboardWrite,intelligence-wire/proof,active
EXT-013,Social Cortex,Social Intelligence Analyzer,"Grok + Inflection + GPT","text / social",false,true,Interface Ring,Organism core / affective layer,Social media sentiment analysis and empathic response drafting,activeTab / storage / tabs,intelligence-wire/social,active
EXT-014,Edge Runner,Edge Inference Intelligence,"Phi + Gemma + DBRX","text / edge",true,false,Sovereign Ring,Organism core / edge compute layer,Offline-capable local AI inference with zero cloud dependency,activeTab / storage / offlineEnabled,intelligence-wire/edge,active
EXT-015,Contract Forge,Intelligence Contract Studio,"GPT + Claude + Guards","text / structured / legal",true,true,Counsel Ring,Organism core / governance layer,Draft and verify intelligence contracts with AI-powered review,activeTab / storage / downloads,intelligence-wire/contract,active
EXT-016,Organism Dashboard,Organism Runtime Intelligence,"Heartbeat + OrganismState + EdgeSensor","telemetry / state / pulse",true,true,Sovereign Ring,Organism core / runtime layer,Real-time organism vitals dashboard with 873ms heartbeat sync,activeTab / storage / alarms,intelligence-wire/organism,active
EXT-017,Knowledge Cartographer,Knowledge Graph Intelligence,"Embeddings + Command R + Florence","text / vision / graph",true,true,Memory Ring,Frontend organism / knowledge layer,Visual knowledge graph builder from browsed content,activeTab / storage / tabs / history,intelligence-wire/graph,active
EXT-018,Protocol Bridge,Cross-Protocol Intelligence,"All Foundation Models","multi-modal / protocol",true,true,Transport Ring,Frontend organism / channel layer,Bridge between AI protocols with encrypted relay,activeTab / webRequest / storage,intelligence-wire/bridge,active
EXT-019,Creative Muse,Generative Art Intelligence,"SD + DALL-E + MusicGen + Suno","vision / audio / music / text",false,false,Geometry Ring,Frontend organism / scene layer,Multi-modal creative generation — images + music + text fusion,activeTab / storage / downloads,intelligence-wire/muse,active
EXT-020,Sovereign Nexus,Unified Intelligence Hub,"All 40 Foundation Models","all modalities",true,true,Sovereign Ring,Organism core / sovereign layer,Master hub wiring all 20 extensions into unified organism intelligence,activeTab / storage / tabs / identity / management,intelligence-wire/nexus,active
